timestamp,latency_ms,raw_detection,voted_command,vote_confidence,num_contours_found,candidates_found,detection_rate_pct
1778078841.8310,27.75,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.8891,40.75,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.9281,28.94,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.9692,21.03,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.0251,26.89,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.0714,22.90,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.1246,26.31,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.1757,27.37,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.2449,42.37,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.2789,26.28,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.3196,21.27,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.3839,35.49,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.4261,27.76,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.4753,27.05,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.5284,30.01,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.5816,33.15,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.6302,31.75,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.6796,31.21,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.7392,40.80,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.7792,30.19,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.8444,45.85,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.8729,19.24,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.9263,27.69,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078842.9818,33.37,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.0247,26.38,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.0885,40.18,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.1196,19.81,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.1691,20.68,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.2341,35.71,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.2971,48.17,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.3474,40.36,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.4062,43.56,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.4557,33.41,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.5052,34.47,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.5492,30.86,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.5903,31.03,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.6367,33.94,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.6802,31.96,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.7425,43.97,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.7802,27.22,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.8397,41.22,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.8778,27.61,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078843.9375,39.07,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
